Placa,Fecha Ultima Localizacion,Direccion,Latitud,Longitud,Alias,Taller Molina,Region,Fecha,Hora,Proveedor
BPT-754,26/01/2023 18:36:34,3sg Cusco Peru ,-14.949163333333333,-71.38209666666667,BPT754,False,Cusco,26/01/2023,18:36,Comsatel
BEB-874,26/01/2023 18:36:33,3sg Cusco Peru ,-14.887571666666666,-71.31425666666667,BEB874,False,Cusco,26/01/2023,18:36,Comsatel
BER-732,26/01/2023 18:36:33,"Km 90, San Mateo, Huarochiri, Lima, Peru",-11.775826666666667,-76.30721333333334,BER732,False,Lima,26/01/2023,18:36,Comsatel
BEE-945,26/01/2023 18:36:32,"3sg, Hector Tejada, Peru, ",-14.952818333333333,-71.37869666666667,BEE945,False,Cusco,26/01/2023,18:36,Comsatel
BMP-810,26/01/2023 18:36:32,3sg Cusco Peru ,-14.907001666666666,-71.33008333333333,BMP810,False,Cusco,26/01/2023,18:36,Comsatel
BEE-935,26/01/2023 18:36:31,3sg Cusco Peru ,-14.945735,-71.362705,BEE935,False,Cusco,26/01/2023,18:36,Comsatel
BEE-752,26/01/2023 18:36:31,"3sg, Hector Tejada, Peru, ",-14.965071666666667,-71.37539833333334,BEE752,False,Cusco,26/01/2023,18:36,Comsatel
BEB-887,26/01/2023 18:36:30,3sg Cusco Peru ,-14.866023333333333,-71.32996166666666,BEB887,False,Cusco,26/01/2023,18:36,Comsatel
BEB-889,26/01/2023 18:36:30,3sg Cusco Peru ,-14.87532,-71.32318833333333,BEB889,False,Cusco,26/01/2023,18:36,Comsatel
BLS-904,26/01/2023 18:36:29,34e Cusco Peru ,-15.184766666666667,-71.17033,BLS904,False,Arequipa,26/01/2023,18:36,Comsatel
BNW-758,26/01/2023 18:36:29,"Av Sor Ana De Los Angeles, Peru, ",-16.32989,-71.58986,BNW758,False,Arequipa,26/01/2023,18:36,Comsatel
BNQ-337,26/01/2023 18:36:29,"Av. Arequipa Cuadra 14, Lima, Lima. Peru",-12.079891666666667,-77.03506166666666,BNQ337,False,Lima,26/01/2023,18:36,Comsatel
BHN-702,26/01/2023 18:36:28,"Peru, ",-6.025141666666666,-80.83093833333334,BHN702,False,Piura,26/01/2023,18:36,Comsatel
BEB-933,26/01/2023 18:36:27,"Carretera Toquepala, Villa Staff, Peru, ",-17.275408333333335,-70.637815,BEB933,False,Tacna,26/01/2023,18:36,Comsatel
BNW-876,26/01/2023 18:36:27,"3SG, Peru, ",-14.929153333333334,-71.24480333333334,BNW876,False,Cusco,26/01/2023,18:36,Comsatel
BEE-789,26/01/2023 18:36:26,"3sg, Hector Tejada, Peru",-14.901866666666667,-71.33275333333333,BEE789,False,Cusco,26/01/2023,18:36,Comsatel
AUE-815,26/01/2023 18:36:25,"Ca. Aida Garcia De Sotomayor, Bellavista, Callao. Peru",-12.060925,-77.11286166666666,AUE815,False,Lima,26/01/2023,18:36,Comsatel
BSF-727,26/01/2023 18:36:25,"Unnamed Road, Peru",-14.954371666666667,-71.37704833333333,BSF727,False,Cusco,26/01/2023,18:36,Comsatel
BEE-911,26/01/2023 18:36:23,"3SG, H��ctor Tejada, Peru, ",-14.927296666666667,-71.34728333333334,BEE911,False,Cusco,26/01/2023,18:36,Comsatel
BEE-750,26/01/2023 18:36:21,"Unnamed Road, Peru",-16.514691666666668,-71.61814666666666,BEE750,False,Arequipa,26/01/2023,18:36,Comsatel
BKD-941,26/01/2023 18:36:21,20a Pasco Peru ,-11.001271666666666,-76.36658666666666,BKD941,False,Pasco,26/01/2023,18:36,Comsatel
AVG-767,26/01/2023 18:36:19,"Km 621, Chala, Caraveli, Arequipa, Peru",-15.864973333333333,-74.246625,AVG767,False,Arequipa,26/01/2023,18:36,Comsatel
BEB-927,26/01/2023 18:36:19,3sg Cusco Peru ,-14.865343333333334,-71.32584833333334,BEB927,False,Cusco,26/01/2023,18:36,Comsatel
BEE-829,26/01/2023 18:36:18,"34J, Peru",-15.278553333333333,-71.14175333333333,BEE829,False,Cusco,26/01/2023,18:36,Comsatel
BKD-743,26/01/2023 18:36:17,Carretera Central Junín Peru ,-11.593573333333334,-76.12378666666666,BKD743,False,Junin,26/01/2023,18:36,Comsatel
BEF-743,26/01/2023 18:36:16,3sg Cusco Peru ,-14.88168,-71.313355,BEF743,False,Cusco,26/01/2023,18:36,Comsatel
BED-754,26/01/2023 18:36:16,"Jiron Cusco, Espinar, Peru",-14.8706,-71.32377166666667,BED754,False,Cusco,26/01/2023,18:36,Comsatel
BEE-940,26/01/2023 18:36:16,3sg Cusco Peru ,-14.8798,-71.33272166666667,BEE940,False,Cusco,26/01/2023,18:36,Comsatel
BEE-779,26/01/2023 18:36:15,3sg Cusco Peru ,-14.866426666666667,-71.32933333333334,BEE779,False,Cusco,26/01/2023,18:36,Comsatel
BEE-746,26/01/2023 18:36:11,Interoceanica Sur Moquegua Peru ,-17.040395,-70.72540166666667,BEE746,False,Moquegua,26/01/2023,18:36,Comsatel
BPU-904,26/01/2023 18:36:09,"Av Colon, Espinar, Peru, ",-14.887641666666667,-71.325985,BPU904,False,Cusco,26/01/2023,18:36,Comsatel
BNX-712,26/01/2023 18:36:07,3sg Cusco Peru ,-14.867241666666667,-71.32604166666667,BNX712,False,Cusco,26/01/2023,18:36,Comsatel
BEF-766,26/01/2023 18:36:07,"3sg, Hector Tejada, Peru, ",-14.962271666666666,-71.38173,BEF766,False,Cusco,26/01/2023,18:36,Comsatel
BVM-489,26/01/2023 18:36:06,"20a, Peru",-11.00393,-76.41211166666666,BVM489,False,Pasco,26/01/2023,18:36,Comsatel
BED-703,26/01/2023 18:36:06,3sg Cusco Peru ,-14.863563333333333,-71.32669,BED703,False,Cusco,26/01/2023,18:36,Comsatel
