Alias,Fecha Ultima Localizacion,Latitud,Longitud,Direccion,Placa,Taller Molina,Region,Fecha,Hora,Proveedor,Deviceid
BCU-731 [PACASMAYO],2023-01-26 17:36:13,-7.2552,-79.1323,"AVENIDA MIRAFLORES,YONAN,CAJAMARCA",BCU-731,False,Cajamarca,2023-01-26,17:36,Hunter,
BCU-732 [PACASMAYO],2023-01-26 18:02:05,-5.16776,-80.7149,"CARRETERA PAITA - PIURA,26 DE OCTUBRE,PIURA",BCU-732,False,Piura,2023-01-26,18:02,Hunter,
BCU-733 [PACASMAYO],2023-01-26 18:13:46,-5.16754,-80.715,"CARRETERA PAITA - PIURA,26 DE OCTUBRE,PIURA",BCU-733,False,Piura,2023-01-26,18:13,Hunter,
BCU-734 [PACASMAYO],2023-01-26 18:18:17,-5.18159,-80.6127,"(-5.1815,-80.6127),CASTILLA,PIURA",BCU-734,False,Piura,2023-01-26,18:18,Hunter,
BCU-735 [PACASMAYO],2023-01-26 14:39:48,-5.98511,-77.2856,"CARRETERA FERNANDO BELAUNDE TERRY,RIOJA,RIOJA,SAN MARTIN",BCU-735,False,San Martin,2023-01-26,14:39,Hunter,
BCU-777 [PACASMAYO],2023-01-26 17:50:29,-5.17494,-80.6346,"AVENIDA LAS PALMERAS,PIURA,PIURA",BCU-777,False,Piura,2023-01-26,17:50,Hunter,
BCU-778 [PACASMAYO],2023-01-26 18:35:57,-7.24707,-79.1156,"PE-8,YONAN,CAJAMARCA",BCU-778,False,Cajamarca,2023-01-26,18:35,Hunter,
BCU-779 [PACASMAYO],2023-01-26 18:14:34,-5.1675,-80.7153,"CARRETERA PAITA - PIURA,26 DE OCTUBRE,PIURA",BCU-779,False,Piura,2023-01-26,18:14,Hunter,
BCU-798 [PACASMAYO],2023-01-26 18:35:04,-6.06118,-77.1639,"(-6.0611,-77.1638),RIOJA,RIOJA,SAN MARTIN",BCU-798,False,San Martin,2023-01-26,18:35,Hunter,
BCU-799 [PACASMAYO],2023-01-26 18:34:36,-5.17944,-80.6462,"(-5.1794,-80.6462),PIURA,PIURA",BCU-799,False,Piura,2023-01-26,18:34,Hunter,
BCU-803 [PACASMAYO],2022-12-12 15:48:40,-5.18508,-80.6438,"PE-02,PIURA,PIURA",BCU-803,False,Piura,2022-12-12,15:48,Hunter,
BCU-804 [PACASMAYO],2023-01-26 18:10:09,-5.18173,-80.6564,"(-5.1817,-80.6563),26 DE OCTUBRE,PIURA",BCU-804,False,Piura,2023-01-26,18:10,Hunter,
BCU-805 [PACASMAYO],2023-01-26 18:36:17,-5.18902,-80.6492,"AVENIDA GRAU,26 DE OCTUBRE,PIURA",BCU-805,False,Piura,2023-01-26,18:36,Hunter,
BCU-807 [PACASMAYO],2023-01-26 18:14:04,-8.0941,-78.9996,"AVENIDA CAMINO REAL,TRUJILLO,LA LIBERTAD",BCU-807,False,La Libertad,2023-01-26,18:14,Hunter,
BCU-817 [PACASMAYO],2022-12-20 19:55:47,-6.77576,-79.8456,"AVENIDA JOSE LEONARDO ORTIZ,CHICLAYO,LAMBAYEQUE",BCU-817,False,Lambayeque,2022-12-20,19:55,Hunter,
BCU-818 [PACASMAYO],2023-01-26 18:19:10,-3.68448,-80.6904,"(-3.6844,-80.690),CONTRALMIRANTE VILLAR,TUMBES",BCU-818,False,Tumbes,2023-01-26,18:19,Hunter,
BCU-819 [PACASMAYO],2023-01-26 18:00:27,-5.16409,-80.7203,"CARRETERA PAITA - PIURA,26 DE OCTUBRE,PIURA",BCU-819,False,Piura,2023-01-26,18:00,Hunter,
