Placa,Fecha,Hora,Latitud,Longitud,Deviceid,Taller Molina,Proveedor,Region
BRK-875,2023-01-26,18:36,-11.399168,-77.4121246,b39,False,Geotab,Lima
BRK-907,2023-01-26,18:36,-14.0724993,-75.7385483,bD,False,Geotab,Ica
BSZ-909,2023-01-26,18:36,-10.7855101,-77.6104965,b3C,False,Geotab,Lima
BRS-728,2023-01-26,18:36,-13.4265347,-76.1338654,b21,False,Geotab,Ica
BRT-784,2023-01-26,18:36,-10.6339836,-77.7042923,b2B,False,Geotab,Lima
BRK-930,2023-01-26,18:36,-12.0002308,-77.0624008,b10,False,Geotab,Lima
BRK-873,2023-01-26,18:36,-12.0427265,-76.9313278,b9,False,Geotab,Lima
BRK-859,2023-01-26,18:36,-11.6168194,-77.207222,b6,False,Geotab,Lima
BRL-815,2023-01-26,18:36,-12.1051645,-77.0014191,b1F,False,Geotab,Lima
BRK-885,2023-01-26,18:36,-11.9412222,-77.1311646,bB,False,Geotab,Lima
BRU-946,2023-01-26,18:36,-12.04457,-76.984169,b32,False,Geotab,Lima
BRT-783,2023-01-26,18:36,-11.5611134,-77.2662048,b2A,False,Geotab,Lima
BRT-814,2023-01-26,18:36,-11.5610876,-77.2662811,b2E,False,Geotab,Lima
BRK-872,2023-01-26,18:35,-12.0204287,-77.0592804,b8,False,Geotab,Lima
BST-822,2023-01-26,18:35,-12.0552444,-77.1222305,b3B,False,Geotab,Lima
BRT-714,2023-01-26,18:35,-12.0786686,-77.0939941,b24,False,Geotab,Lima
BRL-753,2023-01-26,18:35,-12.1081858,-77.0172653,b1B,False,Geotab,Lima
BSS-892,2023-01-26,18:35,-12.9938173,-76.4876251,b3A,False,Geotab,Lima
BRT-752,2023-01-26,18:35,-12.1480961,-76.9861908,b29,False,Geotab,Lima
BRK-858,2023-01-26,18:35,-11.410202,-77.3890076,b5,False,Geotab,Lima
BRK-928,2023-01-26,18:34,-12.0541182,-77.0597916,bF,False,Geotab,Lima
BRK-855,2023-01-26,18:34,-13.4493437,-76.1614304,b4,False,Geotab,Ica
BRL-767,2023-01-26,18:33,-11.9092989,-77.0542068,b1D,False,Geotab,Lima
BRL-769,2023-01-26,18:33,-11.9661827,-77.0561523,b1E,False,Geotab,Lima
BRU-939,2023-01-26,18:33,-12.0871935,-77.0930939,b31,False,Geotab,Lima
BRL-729,2023-01-26,18:32,-12.1084929,-77.0175781,b16,False,Geotab,Lima
BRK-823,2023-01-26,18:31,-12.0453892,-76.9379349,b3,False,Geotab,Lima
BRT-822,2023-01-26,18:28,-11.4918146,-77.2053223,b30,False,Geotab,Lima
BRT-711,2023-01-26,18:26,-13.4137344,-76.1265411,b22,False,Geotab,Ica
BRK-932,2023-01-26,18:26,-11.5610628,-77.2662811,b12,False,Geotab,Lima
BRK-931,2023-01-26,18:25,-12.198451,-76.9897461,b11,False,Geotab,Lima
BRK-757,2023-01-26,18:25,-12.1081858,-77.0173187,b2,False,Geotab,Lima
BRK-860,2023-01-26,18:25,-12.5210114,-76.7342072,b7,False,Geotab,Lima
BRT-750,2023-01-26,18:24,-12.1084414,-77.0177307,b27,False,Geotab,Lima
BRV-856,2023-01-26,18:24,-12.6647301,-76.6282501,b38,False,Geotab,Lima
BRT-785,2023-01-26,18:22,-7.84565783,-79.1451416,b2C,False,Geotab,La Libertad
BRW-708,2023-01-26,18:22,-12.0660477,-76.9644547,b34,False,Geotab,Lima
BRL-752,2023-01-26,18:21,-11.5610876,-77.2662506,b1A,False,Geotab,Lima
