alias,placa,fecha,hora,latitud,longitud,deviceid,taller_molina,proveedor,region,database,odometro
BRK-907,BRK-907,2023-01-30,18:45,-14.0878592,-75.7239304,bD,False,Geotab,Ica,sanfernando,20431.6
BRO-752,BRO-752,2023-01-30,18:45,-11.5005188,-77.2224731,b20,False,Geotab,Lima,sanfernando,22540.9
CAY-157,CAY-157,2023-01-30,18:45,-12.1651716,-77.0256653,b35,False,Geotab,Lima,sanfernando,4752.0
BST-822,BST-822,2023-01-30,18:45,-11.9776764,-77.0676956,b3B,False,Geotab,Lima,sanfernando,6063.4
BRT-711,BRT-711,2023-01-30,18:45,-13.4102526,-76.1539078,b22,False,Geotab,Ica,sanfernando,29626.2
BRK-930,BRK-930,2023-01-30,18:45,-11.8913279,-77.0682907,b10,False,Geotab,Lima,sanfernando,28502.5
BRK-858,BRK-858,2023-01-30,18:45,-11.2287998,-77.40065,b5,False,Geotab,Lima,sanfernando,27749.8
BRK-872,BRK-872,2023-01-30,18:45,-11.9020796,-77.0675964,b8,False,Geotab,Lima,sanfernando,26198.0
BRK-859,BRK-859,2023-01-30,18:45,-11.5098114,-77.2323303,b6,False,Geotab,Lima,sanfernando,27683.8
BRK-855,BRK-855,2023-01-30,18:45,-12.5719299,-76.69384,b4,False,Geotab,Lima,sanfernando,28659.1
BRT-714,BRT-714,2023-01-30,18:45,-13.412096,-76.1421585,b24,False,Geotab,Ica,sanfernando,29267.8
BRK-886,BRK-886,2023-01-30,18:45,-12.1382914,-77.0200577,bC,False,Geotab,Lima,sanfernando,25773.1
BRL-731,BRL-731,2023-01-30,18:44,-13.0946045,-76.427597,b18,False,Geotab,Lima,sanfernando,29600.3
BRK-927,BRK-927,2023-01-30,18:44,-13.6152067,-76.1474075,bE,False,Geotab,Ica,sanfernando,26405.5
BRK-931,BRK-931,2023-01-30,18:44,-12.198451,-76.9897766,b11,False,Geotab,Lima,sanfernando,24482.8
BRU-946,BRU-946,2023-01-30,18:44,-13.4136572,-76.1497574,b32,False,Geotab,Ica,sanfernando,13033.5
BRK-941,BRK-941,2023-01-30,18:43,-11.5394812,-77.2527618,b13,False,Geotab,Lima,sanfernando,24748.8
BRK-873,BRK-873,2023-01-30,18:43,-12.0267773,-76.8951569,b9,False,Geotab,Lima,sanfernando,11487.5
BSZ-909,BSZ-909,2023-01-30,18:43,-10.7895555,-77.6119537,b3C,False,Geotab,Lima,sanfernando,6242.9
BRV-856,BRV-856,2023-01-30,18:42,-12.6649342,-76.6281204,b38,False,Geotab,Lima,sanfernando,18797.5
BRL-769,BRL-769,2023-01-30,18:42,-11.9904766,-77.0746384,b1E,False,Geotab,Lima,sanfernando,6585.7
BRL-753,BRL-753,2023-01-30,18:41,-12.0806656,-77.0477295,b1B,False,Geotab,Lima,sanfernando,10454.9
BRK-928,BRK-928,2023-01-30,18:41,-12.0387583,-77.023819,bF,False,Geotab,Lima,sanfernando,29234.0
BRK-823,BRK-823,2023-01-30,18:40,-12.0452604,-76.9380341,b3,False,Geotab,Lima,sanfernando,11334.4
BSS-892,BSS-892,2023-01-30,18:39,-12.1019907,-76.8687363,b3A,False,Geotab,Lima,sanfernando,4501.3
BRT-814,BRT-814,2023-01-30,18:39,-11.5609598,-77.266304,b2E,False,Geotab,Lima,sanfernando,13483.5
BRT-752,BRT-752,2023-01-30,18:37,-12.1176577,-77.0063324,b29,False,Geotab,Lima,sanfernando,6205.7
BRT-785,BRT-785,2023-01-30,18:36,-11.5610876,-77.2662811,b2C,False,Geotab,Lima,sanfernando,22440.0
BRT-749,BRT-749,2023-01-30,18:36,-8.10552311,-79.0178299,b26,False,Geotab,La Libertad,sanfernando,16805.5
BRK-943,BRK-943,2023-01-30,18:36,-12.175642,-76.9977341,b15,False,Geotab,Lima,sanfernando,20372.1
BRL-730,BRL-730,2023-01-30,18:34,-10.0674305,-78.1526566,b17,False,Geotab,Ancash,sanfernando,17033.1
BRT-715,BRT-715,2023-01-30,18:34,-11.5611649,-77.2662277,b25,False,Geotab,Lima,sanfernando,15724.6
BRK-885,BRK-885,2023-01-30,18:34,-11.4827261,-77.2105484,bB,False,Geotab,Lima,sanfernando,35986.3
BRK-757,BRK-757,2023-01-30,18:33,-11.9365635,-76.9612274,b2,False,Geotab,Lima,sanfernando,8056.2
BRK-875,BRK-875,2023-01-30,18:32,-11.5610876,-77.2662811,b39,False,Geotab,Lima,sanfernando,21889.7
BRL-754,BRL-754,2023-01-30,18:32,-13.6191492,-76.1334305,b1C,False,Geotab,Ica,sanfernando,26642.3
CCL-239,CCL-239,2023-01-30,18:31,-12.1077251,-77.0176773,b37,False,Geotab,Lima,sanfernando,5342.8
BRU-939,BRU-939,2023-01-30,18:30,-12.0859652,-77.0906143,b31,False,Geotab,Lima,sanfernando,15838.6
BRU-947,BRU-947,2023-01-30,18:30,-11.5658493,-77.2646179,b33,False,Geotab,Lima,sanfernando,9888.2
BRT-783,BRT-783,2023-01-30,18:29,-11.5608578,-77.2663269,b2A,False,Geotab,Lima,sanfernando,19499.4
BRL-732,BRL-732,2023-01-30,18:27,-11.5608578,-77.2662277,b19,False,Geotab,Lima,sanfernando,13658.7
BRL-767,BRL-767,2023-01-30,18:26,-11.9092731,-77.0541534,b1D,False,Geotab,Lima,sanfernando,34641.8
BRK-932,BRK-932,2023-01-30,18:24,-11.9929342,-77.0918121,b12,False,Geotab,Lima,sanfernando,12426.2
BRT-751,BRT-751,2023-01-30,18:23,-14.0521212,-75.7637634,b28,False,Geotab,Ica,sanfernando,33371.5
BRL-815,BRL-815,2023-01-30,18:23,-12.1084156,-77.0177536,b1F,False,Geotab,Lima,sanfernando,24739.4
BRT-750,BRT-750,2023-01-30,18:22,-11.5609598,-77.2663269,b27,False,Geotab,Lima,sanfernando,17337.7
BRT-788,BRT-788,2023-01-30,18:22,-11.5611391,-77.2661743,b2D,False,Geotab,Lima,sanfernando,5230.7
BRT-713,BRT-713,2023-01-30,18:20,-13.7118464,-76.1947403,b23,False,Geotab,Ica,sanfernando,27371.9
BRK-860,BRK-860,2023-01-30,18:19,-12.5210114,-76.73423,b7,False,Geotab,Lima,sanfernando,21535.4
BRS-728,BRS-728,2023-01-30,18:18,-13.4284544,-76.1588974,b21,False,Geotab,Ica,sanfernando,15584.1
BRW-708,BRW-708,2023-01-30,18:15,-12.0660477,-76.9643784,b34,False,Geotab,Lima,sanfernando,11162.6
BRT-815,BRT-815,2023-01-30,18:15,-12.7651844,-76.5958633,b2F,False,Geotab,Lima,sanfernando,11076.1
BRT-784,BRT-784,2023-01-30,17:56,-10.7896833,-77.611824,b2B,False,Geotab,Lima,sanfernando,16986.8
BRT-822,BRT-822,2023-01-30,17:27,-10.7896318,-77.6121063,b30,False,Geotab,Lima,sanfernando,16017.7
BRK-942,BRK-942,2023-01-30,16:10,-10.9590788,-77.5481567,b14,False,Geotab,Lima,sanfernando,30130.5
BRK-874,BRK-874,2023-01-30,15:53,-12.0846081,-77.0535431,bA,False,Geotab,Lima,sanfernando,14714.7
BRL-729,BRL-729,2023-01-30,15:32,-12.1084929,-77.0175781,b16,False,Geotab,Lima,sanfernando,15059.9
BKD-764,BKD-764,2023-01-30,14:30,-12.0717316,-76.9539108,b1,True,Geotab,Lima,sanfernando,44531.6
BRL-752,BRL-752,2023-01-30,08:54,-12.0535297,-76.9549332,b1A,False,Geotab,Lima,sanfernando,26847.1
CCD-247,CCD-247,2023-01-30,18:45,-12.0413179,-77.0656509,b4,False,Geotab,Lima,bureauveritas,5903.0
CCD-244,CCD-244,2023-01-30,18:45,-11.107379,-77.5941391,b6,False,Geotab,Lima,bureauveritas,7604.0
CCE-546,CCE-546,2023-01-30,18:44,-12.0423422,-77.0309143,b1,False,Geotab,Lima,bureauveritas,9954.0
CCD-458,CCD-458,2023-01-30,18:44,-11.693594,-76.8728027,b2,False,Geotab,Lima,bureauveritas,8425.0
CCD-276,CCD-276,2023-01-30,18:44,-12.0395775,-76.9974747,b9,False,Geotab,Lima,bureauveritas,6875.0
CCE-038,CCE-038,2023-01-30,18:42,-12.0467196,-77.0344162,b3,False,Geotab,Lima,bureauveritas,7505.0
CCC-683,CCC-683,2023-01-30,18:40,-11.9748859,-77.1006241,bB,False,Geotab,Lima,bureauveritas,5104.0
CCE-039,CCE-039,2023-01-30,18:39,-12.0502272,-77.057251,bA,False,Geotab,Lima,bureauveritas,3882.0
CCC-624,CCC-624,2023-01-30,18:31,-11.8636036,-77.0741501,b7,False,Geotab,Lima,bureauveritas,11807.0
CCC-682,CCC-682,2023-01-30,18:30,-11.975296,-77.0372849,b8,False,Geotab,Lima,bureauveritas,5908.0
CCF-560,CCF-560,2023-01-30,18:28,-11.9635458,-76.9910812,b5,False,Geotab,Lima,bureauveritas,7260.0
CCD-275,CCD-275,2023-01-30,18:28,-12.0449791,-77.0883865,bD,False,Geotab,Lima,bureauveritas,4598.0
CCD-290,CCD-290,2023-01-30,18:19,-11.9612932,-77.0786057,bC,False,Geotab,Lima,bureauveritas,5037.0
CBN-633,CBN-633,2023-01-30,18:45,-12.0823555,-77.0694122,b3,False,Geotab,Lima,mitsuidelperu,5164.4
CBN-054,CBN-054,2023-01-30,18:28,-12.1030655,-77.042099,b1,False,Geotab,Lima,mitsuidelperu,1461.0
CBN-632,CBN-632,2023-01-30,12:47,-12.0921602,-77.0322723,b2,False,Geotab,Lima,mitsuidelperu,6447.0
BSA-844,BSA-844,2023-01-30,18:45,-6.56407022,-78.6500092,b3,False,Geotab,Cajamarca,mibanco,17227.0
BSA-857,BSA-857,2023-01-30,18:42,-5.7076993,-78.8060379,b4,False,Geotab,Cajamarca,mibanco,11176.0
BSA-882,BSA-882,2023-01-30,18:39,-6.75676155,-78.8244476,b5,False,Geotab,Cajamarca,mibanco,16878.0
CBK-240,CBK-240,2023-01-30,18:36,-12.0727549,-76.9924316,b7,False,Geotab,Lima,mibanco,3151.0
CBQ-411,CBQ-411,2023-01-30,18:31,-12.1927938,-76.9618454,bB,False,Geotab,Lima,mibanco,4885.0
CBO-616,CBO-616,2023-01-30,18:26,-12.1702909,-76.9683685,b9,False,Geotab,Lima,mibanco,2301.0
BSA-805,BSA-805,2023-01-30,18:25,-8.06827545,-79.0214157,b2,False,Geotab,La Libertad,mibanco,6058.0
CBK-484,CBK-484,2023-01-30,18:21,-12.2137346,-76.9064484,b8,False,Geotab,Lima,mibanco,4406.0
BSA-723,BSA-723,2023-01-30,18:19,-17.0305271,-72.015152,b1,False,Geotab,Arequipa,mibanco,8267.0
BSB-836,BSB-836,2023-01-30,18:17,-15.8690052,-69.9910431,b6,False,Geotab,Puno,mibanco,7671.0
CBP-165,CBP-165,2023-01-30,18:17,-11.8444796,-77.0992889,bA,False,Geotab,Lima,mibanco,6023.0
BTH-760,BTH-760,2023-01-30,18:19,-12.123085,-77.0380325,b1,False,Geotab,Lima,cofasa,3431.0
LAP OPE BKY-777,BKY-777,2023-01-30,18:46,-12.0205317,-77.1101456,b4F,False,Geotab,Lima,mb_renting,54397.0
LAP SEG BKY-784,BKY-784,2023-01-30,18:45,-12.018074,-77.1193085,b50,False,Geotab,Callao,mb_renting,52105.0
LAP OPE BKX-822,BKX-822,2023-01-30,18:45,-12.0246782,-77.1095047,b4E,False,Geotab,Lima,mb_renting,55448.0
FMG BFF-813,BFF-813,2023-01-30,18:45,-12.0742655,-77.0927582,bC,False,Geotab,Lima,mb_renting,78271.0
AVG BFJ-930,BFJ-930,2023-01-30,18:44,-6.76400661,-79.8313751,b10,False,Geotab,Lambayeque,mb_renting,123885.0
LAP SEG BLL-921,BLL-921,2023-01-30,18:40,-12.0231171,-77.1080475,b51,False,Geotab,Lima,mb_renting,53019.0
AVG Mit BHQ-906,BHQ-906,2023-01-30,18:36,-14.0978432,-75.747406,b6,False,Geotab,Ica,mb_renting,77865.0
FMG BFD-884,BFD-884,2023-01-30,18:27,-12.0687361,-76.9588699,b8,False,Geotab,Lima,mb_renting,102494.0
HR BJJ-878 0702,BJJ-878,2023-01-30,18:26,-11.005722,-76.4117508,b1D,False,Geotab,Pasco,mb_renting,58280.6
Maxus BNF-743,BNF-743,2023-01-30,18:19,-14.0992002,-72.3088608,b2D,False,Geotab,Apurimac,mb_renting,8166.0
ATPY BEE-753,BEE-753,2023-01-30,15:23,-14.8726788,-71.3203735,b12,False,Geotab,Cusco,mb_renting,20396.3
HR BKD-747 0102,BKD-747,2023-01-30,07:28,-11.0034943,-76.409317,b17,False,Geotab,Pasco,mb_renting,56831.5
LBB BDD-862,BDD-862,2023-01-28,21:12,-14.0993795,-72.3110428,bE,False,Geotab,Apurimac,mb_renting,85120.0
HR BJU-715 0302,BJU-715,2023-01-26,14:09,-11.003315,-76.4090652,b1B,False,Geotab,Pasco,mb_renting,68125.5
HR BKD-760 0102,BKD-760,2023-01-25,07:59,-11.003418,-76.4093475,b16,False,Geotab,Pasco,mb_renting,54343.6
HR BJV-829 2107,BJV-829,2023-01-23,15:11,-11.00352,-76.409317,b2F,False,Geotab,Pasco,mb_renting,101370.6
HR BKD-762 0702,BKD-762,2023-01-23,14:57,-11.0034428,-76.4093704,b1C,False,Geotab,Pasco,mb_renting,47673.0
AGT BJS-749 1603,BJS-749,2023-01-18,16:38,-11.5931902,-76.1229553,b22,False,Geotab,Junin,mb_renting,42463.4
AGT BJK-700 2803,BJK-700,2023-01-18,07:45,-11.5931902,-76.1229553,b21,False,Geotab,Junin,mb_renting,42320.1
CL BEC-864,BEC-864,2023-01-16,17:58,-13.0796547,-75.9938583,bA,False,Geotab,Lima,mb_renting,62642.0
AGT BJJ-908 2803,BJJ-908,2023-01-12,11:25,-11.5931396,-76.1230087,b1E,False,Geotab,Junin,mb_renting,52908.6
AGT BJJ-933 1603,BJJ-933,2023-01-11,08:30,-11.5932159,-76.1229553,b20,False,Geotab,Junin,mb_renting,104497.3
AGT BJS-873 2803,BJS-873,2023-01-10,15:22,-11.5931396,-76.1230316,b1F,False,Geotab,Junin,mb_renting,66023.0
AVG BDO-789,BDO-789,2023-01-09,10:42,-5.18499851,-80.6437607,b9,False,Geotab,Piura,mb_renting,59559.0
ATPY BEE-752,BEE-752,2023-01-05,17:04,-14.8727551,-71.3205261,b13,False,Geotab,Cusco,mb_renting,96631.0
CL BEB-807,BEB-807,2023-01-05,16:08,-12.0171518,-76.9104919,b11,False,Geotab,Lima,mb_renting,63660.0
LBB BDG-837,BDG-837,2023-01-05,08:51,-13.5690756,-71.8284302,bF,False,Geotab,Cusco,mb_renting,93774.0
SF BRK-875,BRK-875,2022-11-21,10:10,-8.10140133,-79.0497284,b3E,False,Geotab,La Libertad,mb_renting,3928.9
ATPY BEB-884,BEB-884,2022-11-18,11:12,-14.9606657,-71.3797913,b14,False,Geotab,Cusco,mb_renting,97595.0
Camión Maxus,,2022-11-18,10:42,-12.1273088,-77.0291443,b87,False,Geotab,Lima,mb_renting,2990.2
SF BRV-856,BRV-856,2022-11-03,10:52,-12.2269182,-76.9700317,b60,False,Geotab,Lima,mb_renting,5223.0
Almacén BEE-825,BEE-825,2022-11-02,17:28,-12.0694275,-76.9497604,b74,False,Geotab,Lima,mb_renting,67.0
SF BRT-715,BRT-715,2022-11-02,09:17,-11.5650816,-77.2679901,b5D,False,Geotab,Lima,mb_renting,4514.2
